name,url,star,comment,avg_price,taste,environment,services,recommend
海底捞火锅(吴中路店),http://www.dianping.com/shop/2014165,准五星商户,18214,124,8.2,8.3,9.1,"功夫面,捞派滑牛肉,招牌虾滑"
红魔重庆美蛙火锅(特力时尚汇店),http://www.dianping.com/shop/67882583,五星商户,1789,14,9,8.7,9,"大吉大利今晚吃蛙,自制芝士虾滑,招牌麻辣鸳鸯锅"
哥老官重庆美蛙鱼头(周浦万达十四哥店),http://www.dianping.com/shop/92674849,准五星商户,3017,138,9,8.8,8.7,"特色美蛙,空运毛肚,鸭血"
湊湊火锅·茶憩(百联南方店),http://www.dianping.com/shop/98087249,准五星商户,1748,152,8.8,9.1,9,"大红袍珍珠奶茶,飞鱼籽墨鱼滑,台式麻辣锅"
满园火锅,http://www.dianping.com/shop/96065896,五星商户,396,363,9.2,9.1,9.3,"花胶走地鸡锅底,斑节虾,手切特级牛排肉"
一炉小凤鲜炭炉火锅(茅台路店),http://www.dianping.com/shop/96213054,五星商户,663,177,9.1,8.9,9.1,"招牌小凤鲜,金牌秘制蟹,大连鲍鱼"
协乐海鲜火锅,http://www.dianping.com/shop/124162402,准五星商户,55,500,8.8,9.1,9,"松茸花胶鸡汤锅,特选去骨散鸡,特选牛肉"
爱上六头鲍港式打边炉,http://www.dianping.com/shop/109977799,准五星商户,1267,18,8.9,8.9,8.6,"六头鲍,养颜花胶鸡浓汤锅,八秒毛肚"
爸爸炒料牛排老火锅(淮海路旗舰店),http://www.dianping.com/shop/126765153,准五星商户,192,10,8.9,8.6,8.4,"爸爸煮牛排骨,糖制番茄,蛋酥糍粑"
捞王锅物料理(世茂广场店),http://www.dianping.com/shop/98954426,五星商户,1006,142,9.1,9.1,8.9,"猪肚鸡火锅,爆浆手打虾丸,胡椒猪肚鸡"
八万羊蝎子铜锅涮羊肉,http://www.dianping.com/shop/90588122,准五星商户,287,184,9,8.7,8.8,"红柳羊肉串,蒜香口味小龙虾,北冰洋汽水"
香港柒胜海鲜火锅酒家(联洋店),http://www.dianping.com/shop/102207129,准五星商户,455,391,9.1,9,8.5,"足火黄油鸡煲花胶翅汤锅,雪花肥牛,海鮮拼盆（大）"
上上谦串串香火锅(新梅联合广场店),http://www.dianping.com/shop/5473698,准五星商户,41585,122,8.6,8.4,8.6,"秘制牛肉签,自制芝士虾滑,串串虾"
楼上火锅(茂名南路店),http://www.dianping.com/shop/73498668,五星商户,5960,488,9.1,8.7,9.1,"金牌土鸡花胶锅,椒盐粟米,招牌三色牛肉船"
熊猫老灶火锅(延安西路店),http://www.dianping.com/shop/65594079,五星商户,10178,197,9,9,9,"鸳鸯锅,美蛙,重庆酥肉"
海底捞火锅(第一百货店),http://www.dianping.com/shop/18489851,五星商户,6860,148,9.1,9.2,9.2,"招牌虾滑,番茄锅底,捞派滑牛肉"
大龙燚火锅(长寿店),http://www.dianping.com/shop/24987441,四星商户,4649,155,8.5,8.1,8,"牛排,大刀毛肚,鸭血"
海底捞火锅(华山路店),http://www.dianping.com/shop/6110204,五星商户,9626,140,9.1,9.1,9.2,"招牌虾滑,番茄锅底,捞派滑牛肉"
左庭右院鲜牛肉火锅(环球港店),http://www.dianping.com/shop/27032759,五星商户,7123,147,9.1,9,9,"吊龙,嫩肉,炸腐皮"
锅太泰泰式火锅餐厅,http://www.dianping.com/shop/72476715,准五星商户,2613,228,9,9,8.9,"冬阴功汤底,椰子冻,椰汁锅底"
海底捞火锅(五角场店),http://www.dianping.com/shop/21274580,五星商户,176,137,9.1,9.2,9.3,"招牌虾滑,雪花肥羊肉,特级鲜鸭肠"
吴老幺火锅(静安店),http://www.dianping.com/shop/127927859,五星商户,59,89,9,9,8.7,"吴家鲜毛肚,秘制牛肉,吴家虾滑"
楼上荟馆(静安嘉里中心店),http://www.dianping.com/shop/120072485,五星商户,386,667,9.2,9.3,9.2,"走地鸡煲花胶螺头汤,肆十年陈皮红豆沙,精选黑毛牛肉"
